Date,Month,TimeOfDay,Item,PriceNaira,Quantity,IsWetSeason,IsInSeason,DaysSinceDelivery,StorageType,CurrentInflationRate,IsMarketDay,IsReligiousPeriod,TransportDisruption,SoldOut
2024-January-04,January,Morning,Beans brown,1077.85,74,0,0,4,room,34.8,1,0,0,1
2024-January-04,January,Morning,Beans white black eye,1270.61,88,0,0,5,room,34.8,1,0,0,1
2024-January-04,January,Morning,Beef Bone in,4301.49,49,0,0,4,cold,34.8,0,0,0,1
2024-January-04,January,Morning,Beef boneless,4761.76,90,0,0,3,cold,34.8,1,0,0,1
2024-January-04,January,Morning,Catfish (obokun) fresh,5051.77,125,0,0,5,cold,34.8,0,0,0,0
2024-January-04,January,Morning,Catfish dried,6013.39,81,0,0,2,room,34.8,0,0,0,1
2024-January-04,January,Morning,Chicken Wings,3172.31,107,0,0,4,cold,34.8,1,0,0,1
2024-January-04,January,Morning,Tomato,728.04,65,0,1,4,room,34.8,0,1,0,1
2024-January-04,January,Morning,Onion bulb,920.36,53,0,0,3,room,34.8,0,0,0,1
2024-January-04,January,Morning,Sweet potato,577.7,46,0,1,3,room,34.8,0,1,0,1
2024-January-04,January,Morning,Yam tuber,800.02,74,0,0,3,room,34.8,0,0,0,0
2024-January-04,January,Afternoon,Agric eggs medium size,1495.39,48,0,0,2,room,34.8,0,0,0,0
2024-January-04,January,Afternoon,Beans brown,1367.52,38,0,0,3,room,34.8,0,0,0,0
2024-January-04,January,Afternoon,Beans white black eye,1256.28,52,0,0,1,room,34.8,0,0,0,1
2024-January-04,January,Afternoon,Beef Bone in,3244.56,54,0,0,3,cold,34.8,1,0,0,0
2024-January-04,January,Afternoon,Beef boneless,5183.98,57,0,0,1,cold,34.8,0,0,0,0
2024-January-04,January,Afternoon,Catfish (obokun) fresh,3570.27,25,0,0,3,cold,34.8,0,0,0,1
2024-January-04,January,Afternoon,Catfish dried,4347.58,37,0,0,2,room,34.8,0,0,0,1
2024-January-04,January,Afternoon,Chicken Wings,4727.62,37,0,0,2,cold,34.8,0,0,0,1
2024-January-04,January,Afternoon,Tomato,866.94,10,0,1,3,room,34.8,0,0,0,0
2024-January-04,January,Afternoon,Onion bulb,1112.24,76,0,0,3,room,34.8,0,0,0,1
2024-January-04,January,Afternoon,Sweet potato,442.5,71,0,1,1,room,34.8,0,0,0,1
2024-January-04,January,Afternoon,Yam tuber,800.19,42,0,0,2,room,34.8,0,0,0,1
2024-January-04,January,Evening,Agric eggs medium size,1367.17,27,0,0,5,room,34.8,0,0,0,0
2024-January-04,January,Evening,Beans brown,1180.27,24,0,0,4,room,34.8,1,0,0,0
2024-January-04,January,Evening,Beans white black eye,1136.45,27,0,0,1,room,34.8,0,1,0,1
2024-January-04,January,Evening,Beef Bone in,1715.17,15,0,0,3,cold,34.8,0,0,0,0
2024-January-04,January,Evening,Beef boneless,2985.91,27,0,0,2,cold,34.8,0,0,0,1
2024-January-04,January,Evening,Catfish (obokun) fresh,2601.89,42,0,0,5,cold,34.8,0,0,0,0
2024-January-04,January,Evening,Catfish dried,4433.46,53,0,0,3,room,34.8,0,0,0,1
2024-January-04,January,Evening,Chicken Wings,3079.88,39,0,0,1,cold,34.8,0,1,0,0
2024-January-04,January,Evening,Tomato,725.76,63,0,1,5,room,34.8,0,0,0,1
2024-January-04,January,Evening,Onion bulb,787.34,19,0,0,5,room,34.8,0,0,0,1
2024-January-04,January,Evening,Sweet potato,320.85,40,0,1,4,room,34.8,0,0,0,0
2024-January-04,January,Evening,Yam tuber,1033.85,43,0,0,5,room,34.8,0,0,0,1
2024-January-05,January,Morning,Agric eggs medium size,1665.97,95,0,0,2,room,34.8,0,0,0,1
2024-January-05,January,Morning,Beans brown,1511.46,19,0,0,5,room,34.8,0,0,0,0
2024-January-05,January,Morning,Beans white black eye,1102.21,53,0,0,3,room,34.8,0,0,0,1
2024-January-05,January,Morning,Beef Bone in,4620.46,71,0,0,2,cold,34.8,0,0,0,1
2024-January-05,January,Morning,Beef boneless,5547.22,74,0,0,3,cold,34.8,0,0,0,0
2024-January-05,January,Morning,Catfish (obokun) fresh,3719.2,85,0,0,2,cold,34.8,0,0,0,1
2024-January-05,January,Morning,Catfish dried,7984.01,99,0,0,5,room,34.8,0,1,0,1
2024-January-05,January,Morning,Chicken Wings,3776.47,63,0,0,5,cold,34.8,0,0,0,0
2024-January-05,January,Morning,Tomato,743.35,57,0,1,4,room,34.8,0,0,0,1
2024-January-05,January,Morning,Onion bulb,1033.69,78,0,0,4,room,34.8,0,0,0,1
2024-January-05,January,Morning,Sweet potato,411.09,73,0,1,5,room,34.8,0,0,0,1
2024-January-05,January,Morning,Yam tuber,933.98,58,0,0,5,room,34.8,0,0,0,1
2024-January-05,January,Afternoon,Agric eggs medium size,1782.35,25,0,0,5,room,34.8,1,0,0,0
2024-January-05,January,Afternoon,Beans brown,1221.47,82,0,0,5,room,34.8,1,0,0,1
2024-January-05,January,Afternoon,Beans white black eye,1232.36,91,0,0,3,room,34.8,1,0,0,1
2024-January-05,January,Afternoon,Beef Bone in,3983.22,57,0,0,2,cold,34.8,0,0,0,0
2024-January-05,January,Afternoon,Beef boneless,5809.87,65,0,0,2,cold,34.8,0,0,0,1
2024-January-05,January,Afternoon,Catfish (obokun) fresh,4954.84,60,0,0,2,cold,34.8,0,0,0,0
2024-January-05,January,Afternoon,Catfish dried,5529.42,60,0,0,3,room,34.8,0,1,0,1
2024-January-05,January,Afternoon,Chicken Wings,3089.39,75,0,0,1,cold,34.8,1,0,0,0
2024-January-05,January,Afternoon,Tomato,534.7,46,0,1,1,room,34.8,0,0,0,1
2024-January-05,January,Afternoon,Onion bulb,1258.78,92,0,0,3,room,34.8,1,1,0,1
2024-January-05,January,Afternoon,Sweet potato,562.95,82,0,1,1,room,34.8,0,0,0,0
2024-January-05,January,Afternoon,Yam tuber,1150.48,57,0,0,5,room,34.8,0,0,0,1
2024-January-05,January,Evening,Agric eggs medium size,614.78,30,0,0,1,room,34.8,0,0,0,0
2024-January-05,January,Evening,Beans brown,747.13,32,0,0,1,room,34.8,0,0,0,0
2024-January-05,January,Evening,Beans white black eye,854.72,38,0,0,4,room,34.8,0,0,0,0
2024-January-05,January,Evening,Beef Bone in,2850.22,43,0,0,3,cold,34.8,0,0,0,1
2024-January-05,January,Evening,Beef boneless,6433.45,56,0,0,3,cold,34.8,0,1,0,1
2024-January-05,January,Evening,Catfish (obokun) fresh,3234.2,20,0,0,3,cold,34.8,0,1,0,0
2024-January-05,January,Evening,Catfish dried,4963.21,43,0,0,4,room,34.8,0,1,0,1
2024-January-05,January,Evening,Chicken Wings,2312.09,38,0,0,3,cold,34.8,0,0,0,0
2024-January-05,January,Evening,Tomato,470.63,29,0,1,2,room,34.8,0,0,0,1
2024-January-05,January,Evening,Onion bulb,576.25,32,0,0,4,room,34.8,0,0,0,1
2024-January-05,January,Evening,Sweet potato,328.4,46,0,1,1,room,34.8,0,0,0,1
2024-January-05,January,Evening,Yam tuber,752.62,36,0,0,4,room,34.8,0,0,0,0
2024-January-06,January,Morning,Agric eggs medium size,1644.74,59,0,0,1,room,34.8,0,0,0,1
2024-January-06,January,Morning,Beans brown,1198.39,52,0,0,1,room,34.8,0,0,0,0
2024-January-06,January,Morning,Beans white black eye,994.85,46,0,0,1,room,34.8,0,0,0,1
2024-January-06,January,Morning,Beef Bone in,3527.84,10,0,0,5,cold,34.8,0,0,0,0
2024-January-06,January,Morning,Beef boneless,5041.78,62,0,0,2,cold,34.8,0,0,0,1
2024-January-06,January,Morning,Catfish (obokun) fresh,3959.68,48,0,0,2,cold,34.8,0,0,0,0
2024-January-06,January,Morning,Catfish dried,5169.19,83,0,0,1,room,34.8,0,0,0,0
2024-January-06,January,Morning,Chicken Wings,3738.5,83,0,0,4,cold,34.8,0,0,0,1
2024-January-06,January,Morning,Tomato,580.77,50,0,1,2,room,34.8,0,1,0,1
2024-January-06,January,Morning,Onion bulb,1569.31,70,0,0,5,room,34.8,0,1,0,1
2024-January-06,January,Morning,Sweet potato,375.11,37,0,1,1,room,34.8,0,0,0,0
2024-January-06,January,Morning,Yam tuber,616.19,44,0,0,5,room,34.8,1,0,0,1
2024-January-06,January,Afternoon,Agric eggs medium size,1492.16,65,0,0,1,room,34.8,1,0,0,1
2024-January-06,January,Afternoon,Beans brown,1458.96,72,0,0,4,room,34.8,0,0,0,1
2024-January-06,January,Afternoon,Beans white black eye,1228.24,32,0,0,3,room,34.8,0,0,0,0
2024-January-06,January,Afternoon,Beef Bone in,4126.74,51,0,0,2,cold,34.8,0,0,0,0
2024-January-06,January,Afternoon,Beef boneless,5353.93,72,0,0,4,cold,34.8,0,0,0,0
2024-January-06,January,Afternoon,Catfish (obokun) fresh,3870.91,50,0,0,4,cold,34.8,1,0,0,1
2024-January-06,January,Afternoon,Catfish dried,4833.77,75,0,0,2,room,34.8,1,0,0,1
2024-January-06,January,Afternoon,Chicken Wings,3812.19,35,0,0,5,cold,34.8,0,0,0,1
2024-January-06,January,Afternoon,Tomato,988.16,32,0,1,2,room,34.8,0,1,0,1
2024-January-06,January,Afternoon,Onion bulb,820.48,37,0,0,2,room,34.8,0,0,0,1
2024-January-06,January,Afternoon,Sweet potato,285.08,64,0,1,2,room,34.8,1,0,0,1
2024-January-06,January,Afternoon,Yam tuber,920.87,44,0,0,4,room,34.8,0,0,0,0
2024-January-07,January,Morning,Agric eggs medium size,1529.38,95,0,0,2,room,34.8,0,0,0,1
2024-January-07,January,Morning,Beans brown,1164.65,58,0,0,4,room,34.8,0,0,0,1
2024-January-07,January,Morning,Beans white black eye,1215.14,73,0,0,2,room,34.8,0,1,0,1
2024-January-07,January,Morning,Beef Bone in,5252.29,49,0,0,2,cold,34.8,0,0,0,0
2024-January-07,January,Morning,Beef boneless,5880.42,40,0,0,5,cold,34.8,0,1,0,1
2024-January-07,January,Morning,Catfish (obokun) fresh,4499.52,57,0,0,2,cold,34.8,0,0,0,0
2024-January-07,January,Morning,Catfish dried,6391.94,52,0,0,2,room,34.8,0,1,0,1
2024-January-07,January,Morning,Chicken Wings,3802.65,48,0,0,2,cold,34.8,0,0,0,0
2024-January-07,January,Morning,Tomato,641.94,34,0,1,3,room,34.8,0,0,0,1
2024-January-07,January,Morning,Onion bulb,1076.65,78,0,0,1,room,34.8,0,0,0,1
2024-January-07,January,Morning,Sweet potato,313.54,58,0,1,1,room,34.8,0,0,0,1
2024-January-07,January,Morning,Yam tuber,896.21,10,0,0,1,room,34.8,0,0,0,0
2024-January-07,January,Afternoon,Agric eggs medium size,1596.24,49,0,0,3,room,34.8,0,0,0,1
2024-January-07,January,Afternoon,Beans brown,1327.2,48,0,0,3,room,34.8,0,0,0,1
2024-January-07,January,Afternoon,Beans white black eye,1219.74,41,0,0,3,room,34.8,0,0,0,0
2024-January-07,January,Afternoon,Beef Bone in,3794.25,53,0,0,4,cold,34.8,0,0,0,1
2024-January-07,January,Afternoon,Beef boneless,4990.95,44,0,0,4,cold,34.8,0,0,0,1
2024-January-07,January,Afternoon,Catfish (obokun) fresh,4076.85,83,0,0,5,cold,34.8,1,1,0,1
2024-January-07,January,Afternoon,Catfish dried,4758.18,30,0,0,4,room,34.8,1,0,0,0
2024-January-07,January,Afternoon,Chicken Wings,3422.86,82,0,0,4,cold,34.8,0,0,0,1
2024-January-07,January,Afternoon,Tomato,725.27,31,0,1,5,room,34.8,0,0,0,0
2024-January-07,January,Afternoon,Onion bulb,1132.14,54,0,0,4,room,34.8,0,0,0,0
2024-January-07,January,Afternoon,Sweet potato,405.92,83,0,1,1,room,34.8,1,1,0,1
2024-January-07,January,Afternoon,Yam tuber,951.16,70,0,0,4,room,34.8,1,0,0,1
2024-January-07,January,Evening,Agric eggs medium size,1008.54,81,0,0,1,room,34.8,0,0,0,1
2024-January-07,January,Evening,Beans brown,880.18,44,0,0,4,room,34.8,0,0,0,0
2024-January-07,January,Evening,Beans white black eye,938.55,81,0,0,5,room,34.8,0,0,0,0
2024-January-07,January,Evening,Beef Bone in,1375.26,35,0,0,2,cold,34.8,0,0,0,0
2024-January-07,January,Evening,Beef boneless,3957.8,66,0,0,3,cold,34.8,1,1,0,1
2024-January-07,January,Evening,Catfish (obokun) fresh,3542.04,34,0,0,5,cold,34.8,0,0,0,0
2024-January-07,January,Evening,Catfish dried,6432.35,43,0,0,4,room,34.8,0,0,0,0
2024-January-07,January,Evening,Chicken Wings,2855.17,58,0,0,5,cold,34.8,0,0,0,0
2024-January-07,January,Evening,Tomato,775.45,23,0,1,3,room,34.8,0,0,0,1
2024-January-07,January,Evening,Onion bulb,1056.48,37,0,0,5,room,34.8,0,0,0,0
2024-January-07,January,Evening,Sweet potato,360.71,38,0,1,5,room,34.8,0,0,0,1
2024-January-07,January,Evening,Yam tuber,498.5,47,0,0,4,room,34.8,0,1,0,1
2024-January-08,January,Morning,Agric eggs medium size,1990.11,56,0,0,3,room,34.8,0,0,0,0
2024-January-08,January,Morning,Beans brown,1067.23,56,0,0,1,room,34.8,0,0,0,0
2024-January-08,January,Morning,Beans white black eye,1028.04,79,0,0,4,room,34.8,0,0,0,1
2024-January-08,January,Morning,Beef Bone in,4619.15,47,0,0,2,cold,34.8,0,0,0,1
2024-January-08,January,Morning,Beef boneless,6159.31,56,0,0,3,cold,34.8,0,0,0,0
2024-January-08,January,Morning,Catfish (obokun) fresh,3810.46,81,0,0,3,cold,34.8,0,0,0,1
2024-January-08,January,Morning,Catfish dried,5933.91,46,0,0,4,room,34.8,0,0,0,1
2024-January-08,January,Morning,Chicken Wings,3895.36,72,0,0,5,cold,34.8,1,1,0,1
2024-January-08,January,Morning,Tomato,673.79,48,0,1,2,room,34.8,0,0,0,1
2024-January-08,January,Morning,Onion bulb,903.96,62,0,0,2,room,34.8,0,0,0,1
2024-January-08,January,Morning,Sweet potato,349.37,59,0,1,1,room,34.8,0,0,0,1
2024-January-08,January,Morning,Yam tuber,789.62,25,0,0,1,room,34.8,0,0,0,0
2024-January-08,January,Afternoon,Agric eggs medium size,1632.35,58,0,0,2,room,34.8,0,0,0,0
2024-January-08,January,Afternoon,Beans brown,1439.78,35,0,0,4,room,34.8,0,0,0,1
2024-January-08,January,Afternoon,Beans white black eye,1044.09,42,0,0,3,room,34.8,0,0,0,0
2024-January-08,January,Afternoon,Beef Bone in,3938.43,51,0,0,5,cold,34.8,0,0,0,0
2024-January-08,January,Afternoon,Beef boneless,5605.01,95,0,0,1,cold,34.8,1,0,0,1
2024-January-08,January,Afternoon,Catfish (obokun) fresh,3852.36,51,0,0,3,cold,34.8,0,0,0,1
2024-January-08,January,Afternoon,Catfish dried,5018.15,58,0,0,1,room,34.8,0,0,0,1
2024-January-08,January,Afternoon,Chicken Wings,3497.05,57,0,0,2,cold,34.8,0,0,0,1
2024-January-08,January,Afternoon,Tomato,646.64,53,0,1,2,room,34.8,0,0,0,1
2024-January-08,January,Afternoon,Onion bulb,962.6,70,0,0,4,room,34.8,0,0,0,1
2024-January-08,January,Afternoon,Sweet potato,339.9,59,0,1,3,room,34.8,0,0,0,1
2024-January-08,January,Afternoon,Yam tuber,796.05,55,0,0,4,room,34.8,0,0,0,0
2024-January-08,January,Evening,Agric eggs medium size,1072.63,50,0,0,3,room,34.8,1,0,0,0
2024-January-08,January,Evening,Beans brown,1207.27,25,0,0,5,room,34.8,0,0,0,0
2024-January-08,January,Evening,Beans white black eye,978.15,31,0,0,1,room,34.8,0,0,0,0
2024-January-08,January,Evening,Beef Bone in,3133.98,39,0,0,2,cold,34.8,0,0,0,0
2024-January-08,January,Evening,Beef boneless,2567.56,39,0,0,2,cold,34.8,0,0,0,1
2024-January-08,January,Evening,Catfish (obokun) fresh,2016.28,29,0,0,5,cold,34.8,0,0,0,1
2024-January-08,January,Evening,Catfish dried,3563.38,41,0,0,3,room,34.8,0,0,0,0
2024-January-08,January,Evening,Chicken Wings,2524.53,28,0,0,1,cold,34.8,0,0,0,0
2024-January-08,January,Evening,Tomato,570.22,40,0,1,5,room,34.8,0,0,0,0
2024-January-08,January,Evening,Onion bulb,798.34,68,0,0,5,room,34.8,0,0,0,1
2024-January-08,January,Evening,Sweet potato,227.9,57,0,1,1,room,34.8,1,0,0,1
2024-January-08,January,Evening,Yam tuber,543.09,31,0,0,3,room,34.8,0,0,0,0
2024-January-09,January,Morning,Agric eggs medium size,1667.46,32,0,0,2,room,34.8,0,0,0,0
2024-January-09,January,Morning,Beans brown,1410.33,41,0,0,4,room,34.8,0,0,0,1
2024-January-09,January,Morning,Beans white black eye,1208.7,57,0,0,3,room,34.8,0,0,0,1
2024-January-09,January,Morning,Beef Bone in,4406.65,76,0,0,1,cold,34.8,0,0,0,1
2024-January-09,January,Morning,Beef boneless,6877.32,66,0,0,3,cold,34.8,0,1,0,1
2024-January-09,January,Morning,Catfish (obokun) fresh,3654.92,59,0,0,1,cold,34.8,0,0,0,1
2024-January-09,January,Morning,Catfish dried,5218.01,80,0,0,1,room,34.8,1,0,0,1
2024-January-09,January,Morning,Chicken Wings,3984.9,73,0,0,3,cold,34.8,0,0,0,1
2024-January-09,January,Morning,Tomato,703.81,65,0,1,5,room,34.8,0,0,0,1
2024-January-09,January,Morning,Onion bulb,834.82,56,0,0,3,room,34.8,0,0,0,1
2024-January-09,January,Morning,Sweet potato,298.45,47,0,1,1,room,34.8,0,0,0,1
2024-January-09,January,Morning,Yam tuber,998.93,47,0,0,4,room,34.8,0,0,0,1
2024-January-09,January,Afternoon,Agric eggs medium size,1846.45,41,0,0,2,room,34.8,0,1,0,0
2024-January-09,January,Afternoon,Beans brown,1753.15,68,0,0,5,room,34.8,0,0,0,0
2024-January-09,January,Afternoon,Beans white black eye,1349.78,47,0,0,3,room,34.8,0,0,0,1
2024-January-09,January,Afternoon,Beef Bone in,5546.45,59,0,0,3,cold,34.8,0,1,0,0
2024-January-09,January,Afternoon,Beef boneless,5365.16,71,0,0,2,cold,34.8,0,0,0,0
2024-January-09,January,Afternoon,Catfish (obokun) fresh,3258.9,56,0,0,1,cold,34.8,1,0,0,1
2024-January-09,January,Afternoon,Catfish dried,3886.82,42,0,0,1,room,34.8,0,0,0,0
2024-January-09,January,Afternoon,Chicken Wings,3833.71,44,0,0,1,cold,34.8,0,0,0,1
